name,team,position,age,fantasycalcId,sleeperId,mflId,value,overallRank,positionRank,trend30day
Jahmyr Gibbs,DET,RB,21.488488809931507,9821,9221,16162,4724,25,4,-340
Austin Ekeler,LAC,RB,28.33506415265094,1332,4663,13404,4662,26,5,545
Deshaun Watson,CLE,QB,28.006297025589802,3568,4017,13113,4645,27,11,249
Stefon Diggs,BUF,WR,29.798077850900558,3214,2449,12186,4635,28,11,605
Saquon Barkley,NYG,RB,26.598077851185945,7257,4866,13604,4271,29,6,-37
Nick Chubb,CLE,RB,27.72136552254566,4188,4988,13610,4119,30,7,-180
Tony Pollard,DAL,RB,26.378899768994167,407,5967,14085,4067,31,8,476
Dak Prescott,DAL,QB,30.135064154934042,6637,3294,12620,4050,32,12,186
Mark Andrews,BAL,TE,28.02821483663115,4519,5012,13671,4040,33,2,-217
Josh Jacobs,LV,RB,25.592598395325975,1326,5850,14073,3970,34,9,476
Jonathan Taylor,IND,RB,24.65561209110223,3046,6813,14802,3926,35,10,-450
Bryce Young,CAR,QB,22.14054360473744,9944,9228,16148,3879,36,13,-583
Calvin Ridley,JAX,WR,28.740543604642312,41,4981,13629,3847,37,12,1326
Jordan Love,GB,QB,24.86931073018138,3651,6804,14782,3811,38,14,1264
Travis Etienne,JAX,RB,24.63643401528412,3156,7543,15253,3792,39,11,245
Kyler Murray,ARI,QB,26.10766688603501,3544,5849,14056,3785,40,15,-413
Tee Higgins,CIN,WR,24.658351823978943,5531,6801,14835,3726,41,13,-233
DK Metcalf,SEA,WR,25.754242228373922,5240,5846,14102,3672,42,14,83
Zay Flowers,BAL,WR,23.009036752156266,9930,9997,16190,3652,43,15,1308
Davante Adams,LV,WR,30.729584700659565,1503,2133,11675,3516,44,16,-188
Kyle Pitts,ATL,TE,22.940543607020548,280,7553,15329,3496,45,3,-357
Jaxon Smith-Njigba,SEA,WR,21.581639497368087,9924,9488,16185,3490,46,17,-194
Brandon Aiyuk,SF,WR,25.499447711060377,6429,6803,14840,3438,47,18,773
T.J. Hockenson,MIN,TE,26.203557305555556,8215,5844,14138,3404,48,4,218
Cooper Kupp,LAR,WR,30.25561209760274,5586,4039,13164,3400,49,19,-452
Brock Purdy,SF,QB,23.718625796201167,5570,8183,15698,3344,50,16,1065
C.J. Stroud,HOU,QB,21.948762779141298,9838,9758,16150,3340,51,17,-550
Drake London,ATL,WR,22.143283330511164,998,8112,15751,3244,52,20,-274
Jordan Addison,MIN,WR,21.630954557521562,9847,9756,16186,3155,53,21,150
Kirk Cousins,MIN,QB,35.080269632229836,536,1166,10700,3113,54,18,651
Jared Goff,DET,QB,28.92410524828767,8587,3163,12611,3111,55,19,445
Kenneth Walker,SEA,RB,22.902187440005072,1749,8151,15711,3076,56,12,-352
Rhamondre Stevenson,NE,RB,25.559721686073058,4294,7611,15259,3058,57,13,-213
Javonte Williams,DEN,RB,23.389858666349568,6963,7588,15256,3057,58,14,116
Daniel Jones,NYG,QB,26.304927168569254,5,5870,14059,3043,59,20,-151
Derrick Henry,TEN,RB,29.699447714263066,5421,3198,12626,3013,60,15,-468
Michael Pittman,IND,WR,25.94602305038686,8259,6819,14842,2947,61,22,538
Kenny Pickett,PIT,QB,25.277529906012177,5730,8160,15692,2869,62,21,146
2024 Round 1,null,PICK,null,9602,FP_2024_1,FP_2024_1,2787,63,1,373
Najee Harris,PIT,RB,25.521365519089294,7252,7528,15254,2782,64,16,-265
Christian Watson,GB,WR,24.34602305682395,5981,8167,15789,2743,65,23,-309
Geno Smith,SEA,QB,32.937803880898024,6305,1373,11150,2733,66,22,-163
DJ Moore,CHI,WR,26.422735385400813,6110,4983,13635,2724,67,24,-199
Aaron Jones,GB,RB,28.78985867246956,2382,4199,13319,2681,68,17,351
Russell Wilson,DEN,QB,34.80081757702308,8651,1234,10703,2647,69,23,-177
George Pickens,PIT,WR,22.53232442665525,1436,8137,15762,2634,70,25,-115
2027 Round 1,null,PICK,null,9692,FP_2027_1,FP_2027_1,2627,71,2,-57
Jahan Dotson,WAS,WR,23.483009360413497,7169,8119,15755,2615,72,26,117
Deebo Samuel,SF,WR,27.669310728056825,2495,5872,14136,2609,73,27,111
James Cook,BUF,RB,23.973420319317604,182,8138,15715,2563,74,18,462
Derek Carr,NO,QB,32.47479017982623,1954,2028,11644,2539,75,24,183
Jerry Jeudy,DEN,WR,24.3953381276002,2427,6783,14833,2525,76,28,15
Keenan Allen,LAC,WR,31.389858672945206,1334,1479,11222,2493,77,29,410
Joe Mixon,CIN,RB,27.14602305596778,4578,4018,13131,2475,78,19,46
Dalton Kincaid,BUF,TE,23.910406618087265,9819,10236,16213,2451,79,5,-310
Mac Jones,NE,QB,25.028214833618723,6814,7527,15241,2439,80,25,644
George Kittle,SF,TE,29.937803878424656,5709,4217,13299,2396,81,6,-24
Sam Howell,WAS,QB,22.99533812173389,8210,8162,15693,2332,82,26,494
Dameon Pierce,HOU,RB,23.570680590658295,919,8129,15717,2326,83,20,-161
Quentin Johnston,LAC,WR,22.022735382451803,9879,9754,16188,2321,84,30,-257
Sam LaPorta,DET,TE,22.67205045411593,9843,10859,16214,2308,85,7,369
Terry McLaurin,WAS,WR,28.003557302860223,4864,5927,14109,2295,86,31,102
Dallas Goedert,PHI,TE,28.70218744019533,5988,5022,13674,2286,87,8,-47
Chris Godwin,TB,WR,27.5515025110033,2505,4037,13163,2252,88,32,-230
Jameson Williams,DET,WR,22.472050453767125,1100,8148,15756,2197,89,33,0
Amari Cooper,CLE,WR,29.250132645738205,2301,2309,12175,2196,90,34,44
Matthew Stafford,LAR,QB,35.61177648370116,3611,421,9431,2191,91,27,419
Miles Sanders,CAR,RB,26.376160039225013,5455,6151,14079,2182,92,21,-155
D'Andre Swift,PHI,RB,24.66931073021309,1574,6790,14797,2170,93,22,139
Mike Evans,TB,WR,30.0720504540208,7495,2216,11671,2162,94,35,341
Darren Waller,NYG,TE,31.00903675158549,4485,2505,12263,2141,95,9,-151
Treylon Burks,TEN,WR,23.480269632102992,2373,8135,15752,2134,96,36,-221
2025 Round 1,null,PICK,null,9632,FP_2025_1,FP_2025_1,2113,97,3,99
David Montgomery,DET,RB,26.274790179604263,7515,5892,14071,2047,98,23,330
DeAndre Hopkins,TEN,WR,31.28026962829782,4681,1426,11232,2047,99,37,4
Alvin Kamara,NO,RB,28.14602305320903,4144,4035,13132,1991,100,24,85
Diontae Johnson,PIT,WR,27.198077851217658,4373,5937,14208,1979,101,38,248
Alexander Mattison,MIN,RB,25.241913467751143,7600,5987,14223,1971,102,25,-32
Pat Freiermuth,PIT,TE,24.89122853535642,2550,7600,15331,1931,103,10,-20
Rachaad White,TB,RB,24.647392922057332,2187,8136,15721,1923,104,26,-147
2026 Round 1,null,PICK,null,9662,FP_2026_1,FP_2026_1,1901,105,4,317
Tyler Allgeier,ATL,RB,23.417255933472855,6408,8132,15712,1888,106,27,702
Christian Kirk,JAX,WR,26.825475110794013,8090,4950,13633,1881,107,39,-162
Puka Nacua,LAR,WR,22.296707988203956,9822,9493,16211,1870,108,40,1147
Isiah Pacheco,KC,RB,23.537803878805175,3777,8205,15749,1858,109,28,37
Brian Robinson,WAS,RB,24.485749086377474,4174,8154,15716,1843,110,29,413
Evan Engram,JAX,TE,29.039173741565197,3648,4066,13189,1829,111,11,173
Elijah Moore,CLE,WR,23.469310727993406,4250,7596,15288,1804,112,41,-18
Romeo Doubs,GB,WR,23.422735384703195,2419,8121,15779,1777,113,42,525
De'Von Achane,MIA,RB,21.921365522323693,9969,9226,16167,1740,115,30,-372
Jimmy Garoppolo,LV,QB,31.874790180175037,2899,1837,11760,1740,116,28,105
