rank,player,team,position,age,tier,trend,value
268,Marquez Valdes-Scantling,KCC,WR98,28.8,Tier 21,5d,1227
269,Bailey Zappe,NEP,QB41,24.2,Tier 21,1u,1216
270,Hunter Henry,NEP,TE34,28.6,Tier 21,6d,1212
271,Chris Evans,CIN,RB72,25.8,Tier 21,28u,1204
272,Calvin Austin III,PIT,WR99,24.3,Tier 21,40u,1193
273,Michael Carter,NYJ,RB73,24.2,Tier 21,23d,1183
274,Aidan O'Connell,LVR,QB42,24.9,Tier 21,66u,1161
275,Sam Darnold,SFO,QB43,26.1,Tier 21,7d,1160
276,2025 Late 3rd,,PICK,,Tier 21,9d,1153
277,Keaontay Ingram,ARI,RB74,23.7,Tier 21,15d,1135
278,Tucker Kraft,GBP,TE35,22.7,Tier 21,36d,1133
279,Hayden Hurst,CAR,TE36,29.9,Tier 21,18d,1129
280,Kenny McIntosh,SEA,RB75,23.4,Tier 21,54u,1127
281,Eric Gray,NYG,RB75,23.7,Tier 21,29d,1127
282,Deneric Prince,KCC,RB77,23.3,Tier 21,1u,1112
283,Gus Edwards,BAL,RB78,28.3,Tier 21,6d,1104
284,Richie James,KCC,WR100,28.3,Tier 21,32u,1079
285,Malik Davis,DAL,RB79,24.6,Tier 21,25d,1055
286,Jalen Tolbert,DAL,WR101,24.4,Tier 21,21u,1041
287,Zach Ertz,ARI,TE37,32.7,Tier 21,7d,1037
288,Chris Rodriguez,WAS,RB80,22.8,Tier 21,3d,1029
289,Tyler Scott,CHI,WR102,21.8,Tier 21,2u,1010
290,Tyler Huntley,BAL,QB44,25.5,Tier 21,9d,1005
291,Kyle Philips,TEN,WR103,24.1,Tier 21,12d,1005
292,Pierre Strong Jr.,NEP,RB81,24.6,Tier 21,37d,1002
293,Zack Moss,IND,RB82,25.6,Tier 21,33u,984
294,Noah Gray,KCC,TE38,24.2,Tier 21,8d,981
295,David Bell,CLE,WR104,22.6,Tier 21,5d,979
296,2023 Early 4th,,PICK,,Tier 21,8u,973
297,Jacoby Brissett,WAS,QB45,30.6,Tier 21,21d,971
298,Demario Douglas,NEP,WR105,22.6,Tier 21,153u,964
299,Trayveon Williams,CIN,RB83,25.8,Tier 21,8d,963
300,Tutu Atwell,LAR,WR106,23.8,Tier 21,3d,949
301,Tyrion Davis-Price,SFO,RB84,22.7,Tier 21,39u,947
302,2024 Early 4th,,PICK,,Tier 21,7u,947
303,Clayton Tune,ARI,QB46,24.3,Tier 21,8u,944
304,Laviska Shenault,CAR,WR107,24.8,Tier 21,16d,940
305,Tyler Conklin,NYJ,TE39,28.0,Tier 21,16d,935
