rank,player,team,position,age,tier,trend,rating
246,Van Jefferson,LAR,WR91,27.0,Tier 22,4d,1447
247,Adam Thielen,CAR,WR92,32.9,Tier 22,0,1435
248,2025 Early 3rd,,PICK,,Tier 22,5d,1425
249,Tucker Kraft,GBP,TE34,22.7,Tier 22,3d,1396
250,Kyle Trask,TBB,QB36,25.4,Tier 22,5u,1390
251,Jeffery Wilson,MIA,RB65,27.7,Tier 22,18u,1387
252,Xavier Hutchinson,HOU,WR93,23.1,Tier 22,1d,1384
253,Mecole Hardman,NYJ,WR94,25.4,Tier 22,8u,1373
254,Zach Wilson,NYJ,QB37,24.0,Tier 22,21u,1371
255,2024 Late 3rd,,PICK,,Tier 22,2u,1369
256,Ty Chandler,MIN,RB66,25.2,Tier 22,4u,1354
257,Gus Edwards,BAL,RB67,28.3,Tier 22,11u,1333
258,2025 Mid 3rd,,PICK,,Tier 22,6d,1322
259,Michael Carter,NYJ,RB68,24.2,Tier 22,11d,1321
260,Sam Darnold,SFO,QB38,26.1,Tier 22,6d,1320
261,Hunter Henry,NEP,TE35,28.6,Tier 22,16u,1316
262,Isaiah Spiller,LAC,RB69,22.0,Tier 22,9d,1310
263,Hayden Hurst,CAR,TE36,29.9,Tier 22,1u,1308
264,Malik Davis,DAL,RB70,24.6,Tier 22,5d,1305
265,Keaontay Ingram,ARI,RB71,23.7,Tier 22,9d,1298
266,Marquez Valdes-Scantling,KCC,WR95,28.8,Tier 22,0,1293
267,Stetson Bennett,LAR,QB39,25.7,Tier 22,2d,1293
268,Kenny McIntosh,SEA,RB72,23.4,Tier 22,48u,1292
269,Pierre Strong Jr.,NEP,RB73,24.6,Tier 22,30d,1286
270,Deneric Prince,KCC,RB74,23.3,Tier 22,26u,1244
271,2025 Late 3rd,,PICK,,Tier 22,2u,1236
272,Kyren Williams,LAR,RB75,22.9,Tier 22,10u,1233
273,Kayshon Boutte,NEP,WR96,21.2,Tier 22,1d,1225
274,Bailey Zappe,NEP,QB40,24.2,Tier 22,16d,1217
275,Ezekiel Elliott,FA,RB76,28.0,Tier 22,25d,1206
276,Kareem Hunt,FA,RB77,28.0,Tier 22,14d,1186
277,Richie James,KCC,WR97,28.3,Tier 22,47u,1184
278,Eric Gray,NYG,RB78,23.7,Tier 22,7d,1177
279,Raheem Mostert,MIA,RB79,31.3,Tier 22,5d,1155
280,Gardner Minshew,IND,QB41,27.2,Tier 22,10u,1145
281,Jacoby Brissett,WAS,QB42,30.6,Tier 22,14d,1144
282,Tyler Scott,CHI,WR98,21.8,Tier 22,3d,1137
283,A.T. Perry,NOS,WR99,23.7,Tier 22,9u,1126
284,Zach Ertz,ARI,TE37,32.7,Tier 22,4d,1122
285,Tyler Huntley,BAL,QB43,25.5,Tier 22,15d,1110
286,Malik Willis,TEN,QB44,24.2,Tier 22,23u,1102
287,David Bell,CLE,WR100,22.6,Tier 22,14u,1102
288,Corey Davis,NYJ,WR101,28.5,Tier 22,25u,1075
289,Laviska Shenault,CAR,WR102,24.8,Tier 22,8d,1068
290,Tyler Conklin,NYJ,TE38,28.0,Tier 22,12u,1059
291,DeVante Parker,NEP,WR103,30.5,Tier 22,24u,1044
292,Zonovan Knight,NYJ,RB80,22.3,Tier 22,12u,1038
293,Denzel Mims,NYJ,WR104,25.8,Tier 22,59u,1036
294,Chris Rodriguez,WAS,RB81,22.8,Tier 22,11d,1031
295,Chris Evans,CIN,RB82,25.8,Tier 22,7d,1028
296,Noah Gray,KCC,TE39,24.2,Tier 22,5d,1027
297,Kyle Philips,TEN,WR105,24.1,Tier 22,22d,1017
298,Jalen Tolbert,DAL,WR106,24.4,Tier 22,2u,1015
299,Trayveon Williams,CIN,RB83,25.8,Tier 22,4d,1009
300,Trey Palmer,TBB,WR107,22.3,Tier 22,222u,999
301,Foster Moreau,NOS,TE40,26.2,Tier 22,17d,985
302,Kevin Harris,NEP,RB84,22.7,Tier 22,9d,980
303,Zack Moss,IND,RB85,25.6,Tier 22,39u,966
304,Robert Woods,HOU,WR108,31.3,Tier 22,1u,960
305,Leonard Fournette,FA,RB86,28.5,Tier 22,19d,959
306,Joshua Kelley,LAC,RB87,25.7,Tier 22,2u,957
307,Tutu Atwell,LAR,WR109,23.8,Tier 22,3u,952
308,2024 Early 4th,,PICK,,Tier 22,1d,948
309,Kene Nwangwu,MIN,RB88,25.4,Tier 22,9u,941
310,Devin Duvernay,BAL,WR110,25.8,Tier 22,7d,931
311,Calvin Austin III,PIT,WR111,24.3,Tier 22,17d,912
312,2023 Mid 4th,,PICK,,Tier 22,5u,911
313,Ke'Shawn Vaughn,TBB,RB89,26.2,Tier 22,63u,909
314,2023 Early 4th,,PICK,,Tier 22,18d,902
315,Davis Mills,HOU,QB45,24.8,Tier 22,7u,900
316,Russell Gage,TBB,WR112,27.5,Tier 22,9u,886
317,Albert Okwuegbunam,DEN,TE41,25.2,Tier 22,30d,884
