name,team,position,age,fantasycalcId,sleeperId,mflId,value,overallRank,positionRank,trend30day
Michael Pittman,IND,WR,25.898746069222476,8259,6819,14842,2062,112,38,-281
Mike Evans,TB,WR,30.02477347228564,7495,2216,11671,2060,113,39,270
Miles Sanders,CAR,RB,26.32888305799721,5455,6151,14079,2059,114,26,-172
Mac Jones,NE,QB,24.98093785251776,6814,7527,15241,2050,115,27,-105
Zach Charbonnet,SEA,RB,22.635732373065704,9921,9753,UNK,2049,116,27,-24
Matthew Stafford,LAR,QB,35.56449950009513,3611,421,9431,2008,117,28,415
2023 Pick 2.01,null,PICK,null,10013,DP_1_0,DP_1_0,2002,118,16,-54
De'Von Achane,MIA,RB,21.874088540651954,9969,9226,UNK,1965,119,28,192
Trey Lance,SF,QB,23.3042255246068,4875,7610,15240,1964,120,29,-641
Keenan Allen,LAC,WR,31.34258168895865,1334,1479,11222,1954,121,40,-118
David Montgomery,DET,RB,26.227513195712834,7515,5892,14071,1947,122,29,-111
Desmond Ridder,ATL,QB,23.99463648338407,548,8159,15697,1930,123,30,-107
Mike Williams,LAC,WR,28.90422552701674,8015,4068,13154,1903,124,41,81
Pat Freiermuth,PIT,TE,24.8439515518138,2550,7600,15331,1874,125,9,-237
Tyler Lockett,SEA,WR,30.920663883117708,2019,2374,12187,1860,126,42,285
2026 Round 1,null,PICK,null,9662,FP_2026_1,FP_2026_1,1857,127,17,-130
2023 Pick 2.02,null,PICK,null,10014,DP_1_1,DP_1_1,1845,128,18,-95
Dalvin Cook,NYJ,RB,28.054910453164638,7493,4029,13128,1819,129,30,-270
2023 Pick 2.03,null,PICK,null,10015,DP_1_2,DP_1_2,1769,130,19,-67
James Conner,ARI,RB,28.320663883307965,7447,4137,13146,1758,131,31,102
2023 Pick 2.04,null,PICK,null,10016,DP_1_3,DP_1_3,1743,132,20,0
Alexander Mattison,MIN,RB,25.19463648601598,7600,5987,14223,1730,133,32,-367
Elijah Moore,CLE,WR,23.422033746289955,4250,7596,15288,1730,134,43,162
Isiah Pacheco,KC,RB,23.490526897260274,3777,8205,15749,1708,135,33,-324
Jonathan Mingo,CAR,WR,22.35628032150558,9867,10225,UNK,1698,136,44,260
Evan Engram,JAX,TE,28.991896759861746,3648,4066,13189,1697,137,10,-96
Brian Robinson,WAS,RB,24.438472102771435,4174,8154,15716,1664,138,34,125
2023 Pick 2.05,null,PICK,null,10017,DP_1_4,DP_1_4,1661,139,21,2
Antonio Gibson,WAS,RB,25.183677581779552,7587,6945,14852,1647,140,35,288
Sam LaPorta,DET,TE,22.62477347257103,9843,10859,UNK,1643,141,11,-2
Rashod Bateman,BAL,WR,23.748061140886605,7410,7571,15293,1642,142,45,17
Jimmy Garoppolo,LV,QB,31.827513198630136,2899,1837,11760,1639,143,31,-1
AJ Dillon,GB,RB,25.32614332629376,3368,6828,14805,1631,144,36,-26
David Njoku,CLE,TE,27.137102233954845,6513,4033,13192,1621,145,12,-136
2024 Round 2,null,PICK,null,9603,FP_2024_2,FP_2024_2,1619,146,22,238
Gabe Davis,BUF,WR,24.411074839580163,8112,6943,14845,1608,147,46,262
Michael Mayer,LV,TE,22.14532141441527,9931,9482,UNK,1602,148,13,37
Jalin Hyatt,NYG,WR,21.923403606196093,9851,9497,UNK,1602,149,47,406
Skyy Moore,KC,WR,22.96449949660705,1622,8168,15766,1602,150,48,103
2023 Pick 2.06,null,PICK,null,10018,DP_1_5,DP_1_5,1586,151,23,3
